"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"instrument";"rating";"outcome_category";"outcome_type";"mean_arm1";"sd_arm1";"mean_arm2";"sd_arm2";"n_arm1";"n_arm2";"baseline_mean_arm1";"baseline_sd_arm1";"baseline_mean_arm2";"baseline_sd_arm2";"source_of_participants";"sex_percentage_male";"mean_age";"country";"number_sessions";"time";"time_weeks";"year";"seq_gen";"alloc_conce";"blinding_assess";"missing_data";"vested_int";"selec_report";"d1";"d2";"d3";"d4";"d5";"rob";"event_arm1";"totaln_arm1";"event_arm2";"totaln_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"full_ref";".id";".g";".g_se";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2"
"Abikoff, 2015";"HNC";"wl";"HNC";"wl";"CPRS-Total";"parent";"ADHD total";"msd";62,62;11,05;76,44;9,84;63;34;75,21;9,49;78,01;9,17;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_CPRS-Total_post_NA_parent_HNC_wl_HNC_wl";1,287951072179626;0,2323195619136366;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"HNC";"wl";"HNC";"wl";"NYPRS-Defiance";"parent";"Behavioral problems";"msd";0,75;0,49;1,1;0,72;63;34;1,24;0,62;1,17;0,8;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_NYPRS-Defiance_post_NA_parent_HNC_wl_HNC_wl";0,5983403402007144;0,2171629908344527;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"HNC";"wl";"HNC";"wl";"CPRS-H/I";"parent";"ADHD HI";"msd";62,32;10,34;74,45;10,67;63;34;74,36;9,45;75,88;9,1;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_CPRS-H/I_post_NA_parent_HNC_wl_HNC_wl";1,150937287270464;0,2285219939907139;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"HNC";"wl";"HNC";"wl";"CPRS-IN";"parent";"ADHD A";"msd";60,47;11,57;75,31;10,38;63;34;72,75;11,5;76,39;9,68;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_CPRS-IN_post_NA_parent_HNC_wl_HNC_wl";1,317923182951765;0,2331982515014153;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"NFPP";"wl";"NFPP";"wl";"CPRS-Total";"parent";"ADHD total";"msd";65,26;12,15;76,44;9,84;67;34;75,42;11,43;78,01;9,17;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_CPRS-Total_post_NA_parent_NFPP_wl_NFPP_wl";0,9705306687853436;0,2215215619159441;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"NFPP";"wl";"NFPP";"wl";"NYPRS-Defiance";"parent";"Behavioral problems";"msd";0,84;0,52;1,1;0,72;67;34;1,31;0,65;1,17;0,8;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_NYPRS-Defiance_post_NA_parent_NFPP_wl_NFPP_wl";0,4342441341981762;0,2128026918207083;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"NFPP";"wl";"NFPP";"wl";"CPRS-H/I";"parent";"ADHD HI";"msd";64,62;12;74,45;10,67;67;34;74,56;8,38;75,88;9,1;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_CPRS-H/I_post_NA_parent_NFPP_wl_NFPP_wl";0,8428915977648276;0,2188797330625681;NA;NA;NA;NA;NA;NA
"Abikoff, 2015";"NFPP";"wl";"NFPP";"wl";"CPRS-IN";"parent";"ADHD A";"msd";63,6;11,6;75,31;10,38;67;34;72,91;12,08;76,39;9,68;"Community and Clinic";73,8;3,57;"USA";8;"post";NA;2015;1;1;0;1;0;1;"Low";"Low";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Abikoff, H. B., Thompson, M., Laver‐Bradbury, C., Long, N., Brotman, L. M., Klein, R. G., … Sonuga‐Barke, E. (2015). Parent training for preschool ADHD: A randomized controlled trial of specialized and generic programs. Journal of Child Psychology and Psychiatry, 56(6), 618–631.";"Abikoff_2015_msd_CPRS-IN_post_NA_parent_NFPP_wl_NFPP_wl";1,036845236251934;0,2230267451608309;NA;NA;NA;NA;NA;NA
"Au, 2014";"Triple-P level 4";"wl";NA;NA;"ECBI-Intensity";"parent";"Behavioral problems intensity";"msd";128,14;26,19;155,67;19,21;8;9;152,25;21,92;155,89;20,56;"Clinic";94,12;7,677647059;"China";9;"post";NA;2014;"?";"?";0;1;1;"?";"Low";"Low";"Some concerns";"High";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Au, A., Lau, K., Wong, A. H., Lam, C., Leung, C., Lau, J., Lee, Y. K. (2014) The Efficacy of a Group Triple P (Positive Parenting Program) for Chinese Parents with a Child Diagnosed with ADHD in Hong Kong: A Pilot Randomised Controlled Study, Australian Psychologist, 49(3), 151-162.";"Au_2014_msd_ECBI-Intensity_post_NA_parent_Triple-Plevel4_wl_NA_NA";1,149306878762145;0,5284272063178763;NA;NA;NA;NA;NA;NA
"Chacko, 2009";"BPT";"wl";"BPT";"wl";"DBD-I";"parent";"ADHD A";"msd";1,67;0,74;1,72;0,65;40;40;1,95;0,63;1,87;0,56;"Community";70,667;7,85;"USA";9;"post";NA;2009;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Chacko A, Wymbs BT, Wymbs FA, et al. (2009). Enhancing traditional behavioral parent training for single mothers of children with ADHD. J Clin Child Adolesc Psychol, 38(2):206-218.";"Chacko_2009_msd_DBD-I_post_NA_parent_BPT_wl_BPT_wl";0,07109958688892094;0,2236788169986143;NA;NA;NA;NA;NA;NA
